league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKWINTER,2012-12-22,CJ Entus,KT Rolster B,0,LongPanda,Cho'Gath,1,5,2,,,InSec,Zed,2,5,1,,,Dade,Kha'Zix,0,7,1,,,Space,Caitlyn,1,2,0,,,Kish,Nunu,0,4,2,,,Ragan,Shen,2,2,14,,,KaKAO,Nocturne,5,1,6,,,Ryu,Evelynn,8,0,10,,,Score,Ezreal,8,1,9,,,Mafa,Taric,0,0,17,,
2013LCKWINTER,2012-12-22,KT Rolster B,CJ Entus,1,Ragan,Lee Sin,4,7,15,,,KaKAO,Fiddlesticks,6,2,11,,,Ryu,Talon,7,5,14,,,Score,Riven,10,3,15,,,Mafa,Jarvan IV,1,2,23,,,LongPanda,Olaf,5,5,5,,,InSec,Cho'Gath,7,9,5,,,Dade,Kha'Zix,2,8,4,,,Space,Caitlyn,5,2,6,,,Kish,Nunu,0,4,11,,
2013LCKWINTER,2012-12-05,MVP Blue,Incredible Miracle,0,KangQui,Vladimir,0,6,0,,,NoFe,Amumu,0,3,2,,,SunChip,Karthus,1,3,1,,,Hermes,Draven,2,3,2,,,Bust,Leona,1,3,2,,,Lilac (Jeon Ho-jin),Irelia,7,0,2,,,Ring Troll,Cho'Gath,1,1,9,,,MidKing,Anivia,5,0,6,,,Paragon,Ezreal,4,0,8,,,Lasha,Zyra,1,3,10,,
2013LCKWINTER,2012-12-05,Incredible Miracle,MVP Blue,1,Lilac (Jeon Ho-jin),Shen,2,1,10,,,Ring Troll,Lee Sin,7,1,7,,,MidKing,Twisted Fate,5,1,5,,,Paragon,Ezreal,4,3,9,,,Lasha,Zyra,2,4,11,,,KangQui,Malphite,1,4,2,,,NoFe,Nocturne,0,4,4,,,SunChip,Karthus,4,5,2,,,Hermes,Corki,4,5,3,,,Bust,Blitzcrank,1,3,5,,
2013LCKWINTER,2012-12-05,KT Rolster A,GSG,1,Vitamin,Olaf,4,2,9,,,Joono,Shyvana,0,1,9,,,Zero (Yoon Kyung-sup),Diana,10,1,5,,,Hiro (Lee Woo-suk),Ezreal,2,2,3,,,Wall,Leona,0,3,6,,,Acorn,Vladimir,2,4,3,,,Heart,Lee Sin,1,4,4,,,Easyhoon,Evelynn,5,2,4,,,Clear (Kim Jae-yeol),Vayne,1,2,3,,,PoohManDu,Blitzcrank,0,4,5,,
2013LCKWINTER,2012-12-05,GSG,KT Rolster A,1,Acorn,Irelia,5,1,2,,,Heart,Evelynn,2,2,11,,,Easyhoon,Ahri,3,2,8,,,Clear (Kim Jae-yeol),Ezreal,6,0,7,,,PoohManDu,Lulu,0,1,14,,,Vitamin,Rengar,1,5,0,,,Joono,Olaf,1,1,2,,,Zero (Yoon Kyung-sup),Syndra,3,3,3,,,Hiro (Lee Woo-suk),Caitlyn,1,3,3,,,Wall,Sona,0,4,4,,
2013LCKWINTER,2012-12-07,Team OP,NaJin Sword,0,May (Kang Han-wool),Olaf,3,2,0,,,Nolja,Shaco,1,0,1,,,Cornsalad,Ryze,0,2,2,,,SBs,Graves,0,3,1,,,ManyReason,Lulu,0,3,1,,,MakNooN,Rumble,1,2,3,,,Watch,Cho'Gath,1,1,5,,,SSONG,Jayce,5,1,3,,,PraY,Caitlyn,3,0,4,,,Cain,Nunu,0,0,7,,
2013LCKWINTER,2012-12-07,NaJin Sword,Team OP,1,MakNooN,Rumble,8,2,4,,,Watch,Cho'Gath,0,1,5,,,SSONG,Jayce,2,1,8,,,PraY,Caitlyn,3,1,6,,,Cain,Nunu,1,1,7,,,May (Kang Han-wool),Elise,3,2,2,,,Nolja,Dr. Mundo,2,4,1,,,Cornsalad,Viktor,0,3,4,,,SBs,Corki,1,2,4,,,ManyReason,Lulu,0,3,3,,
2013LCKWINTER,2012-12-07,CJ Entus,NaJin Shield,0,LongPanda,Jax,0,3,2,,,InSec,Cho'Gath,0,3,3,,,Dade,Orianna,1,6,2,,,Space,Ezreal,4,1,2,,,Kish,Zyra,1,3,5,,,Expession,Irelia,5,0,6,,,MOKUZA,Dr. Mundo,2,0,5,,,HooN (Kim Nam-hoon),Karthus,7,3,6,,,Bang,Caitlyn,2,2,4,,,ViNylCat,Nunu,0,1,8,,
2013LCKWINTER,2012-12-07,NaJin Shield,CJ Entus,1,Expession,Irelia,4,1,8,,,MOKUZA,Cho'Gath,1,3,15,,,HooN (Kim Nam-hoon),Orianna,8,0,7,,,Bang,Graves,4,0,6,,,ViNylCat,Sona,0,1,13,,,LongPanda,Jax,2,5,1,,,InSec,Amumu,0,7,4,,,Dade,Ziggs,1,1,3,,,Space,Corki,2,2,2,,,Kish,Zyra,0,2,4,,
