league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKSUMMER,2013-07-24,SK Telecom T1,MVP Blue,1,Impact,Diana,5,5,10,180,11.8,Bengi,Nunu,1,1,17,62,9.2,Faker,Syndra,6,6,5,304,13.9,Piglet,Vayne,13,2,4,233,14.6,PoohManDu,Nami,0,5,17,9,8.1,Acorn,Vladimir,8,4,5,200,11.9,Spirit,Shen,1,7,8,87,7.4,Easyhoon,Karthus,3,4,10,244,11.5,Deft,Twitch,7,5,2,222,11.6,Heart,Zyra,0,5,7,36,7
2013LCKSUMMER,2013-07-27,Incredible Miracle 2,NaJin White Shield,0,PLL,Jax,0,4,1,223,8.9,Lilac (Jeon Ho-jin),Lee Sin,1,4,1,112,6.7,Kuro,Ryze,0,3,0,235,8.9,Scarlet (Jeong Jae-ho),Ezreal,1,3,0,236,9.3,BBuing,Sona,0,3,1,17,4.9,Save,Jarvan IV,1,2,12,208,11.4,NoFe,Zac,5,0,9,124,10.2,Ggoong,Ahri,3,0,9,288,13.2,Zefa,Caitlyn,6,0,6,268,13.5,GorillA,Nami,2,0,12,21,8.7
2013LCKSUMMER,2013-07-27,NaJin White Shield,Incredible Miracle 2,1,Save,Jayce,8,1,7,162,10.6,NoFe,Jarvan IV,4,3,17,77,8.4,Ggoong,Ryze,4,1,10,220,11.3,Zefa,Caitlyn,5,1,8,222,10.9,GorillA,Sona,0,1,15,8,6.5,PLL,Renekton,1,4,2,160,6.8,Lilac (Jeon Ho-jin),Zac,0,6,5,74,5.1,Kuro,Ahri,3,4,4,177,7.9,Scarlet (Jeong Jae-ho),Ezreal,3,2,2,201,8.4,BBuing,Nami,0,5,6,3,4.2
2013LCKSUMMER,2013-07-03,MiG Blitz,KT Rolster Bullets,0,Apple,Kennen,2,4,7,187,10.8,Prime (Yoon Du-sik),Zac,3,3,6,115,9.3,PawN,Twisted Fate,3,9,7,223,12,Ggoggo,Varus,4,5,7,219,12.2,Cammly,Sona,2,6,7,24,12.2,InSec,Shen,3,3,20,251,12.6,KaKAO,Lee Sin,3,3,19,134,10.3,Ryu,Ahri,11,4,11,291,15,Score,Ezreal,8,3,11,262,14,Mafa,Thresh,2,1,13,33,8.8
2013LCKSUMMER,2013-07-03,KT Rolster Bullets,MiG Blitz,1,InSec,Zac,5,1,14,158,11,KaKAO,Elise,4,2,8,108,9.6,Ryu,Twisted Fate,10,1,8,183,12.6,Score,Varus,6,1,10,318,12.7,Mafa,Annie,2,3,6,30,8.1,Apple,Jayce,1,6,3,179,7.2,Prime (Yoon Du-sik),Lee Sin,1,7,5,79,5.9,PawN,Ahri,2,5,3,161,8,Ggoggo,Caitlyn,2,5,4,207,8.9,Cammly,Sona,2,4,4,11,5
2013LCKSUMMER,2013-07-10,CJ Entus Frost,Incredible Miracle 1,1,Shy,Vladimir,0,0,6,271,10.7,CloudTemplar,Nunu,0,1,9,61,7,GBM,Orianna,3,1,4,238,10.4,Space,Vayne,7,2,5,185,10.8,MadLife,Thresh,3,1,4,19,6.8,Smeb,Shen,1,2,1,130,5.9,Reignover,Zac,1,2,2,95,5.5,MidKing,Ezreal,0,3,1,195,6.9,Paragon,Tristana,3,3,1,200,8.1,Black (Kim Jun-hwan),Nami,0,3,3,8,4.2
2013LCKSUMMER,2013-07-10,Incredible Miracle 1,CJ Entus Frost,0,Smeb,Zac,0,3,0,144,6,Reignover,Lee Sin,0,4,0,93,5.3,MidKing,Ryze,0,2,0,218,7.5,Paragon,Caitlyn,0,0,0,236,7.9,Black (Kim Jun-hwan),Sona,0,4,0,9,3.7,Shy,Shen,2,0,8,204,10,CloudTemplar,Nunu,0,0,7,82,7.5,GBM,Orianna,3,0,5,266,11,Space,Vayne,8,0,2,228,11.6,MadLife,Nami,0,0,10,11,6.5
2013LCKSUMMER,2013-07-13,MiG Blitz,Incredible Miracle 1,1,Apple,Ahri,1,1,6,177,9.7,Prime (Yoon Du-sik),Lee Sin,3,0,4,65,7.8,PawN,Fizz,5,2,3,149,9.7,Ggoggo,Varus,2,1,5,202,10,Cammly,Nami,0,0,9,6,6.4,Smeb,Kennen,2,5,0,137,6.8,Reignover,Jax,1,1,2,98,5.9,MidKing,Ryze,1,2,0,164,6.8,Paragon,Vayne,0,1,1,218,7.8,Black (Kim Jun-hwan),Thresh,0,2,3,13,4.1
2013LCKSUMMER,2013-07-13,Incredible Miracle 1,MiG Blitz,0,Smeb,Irelia,3,5,5,224,10.6,Reignover,Lee Sin,3,7,6,85,7.7,MidKing,Ahri,1,6,7,262,10.7,Paragon,Kog'Maw,7,4,5,249,12.5,Black (Kim Jun-hwan),Zyra,1,7,6,31,6.6,Apple,Ryze,5,4,13,193,13.1,Prime (Yoon Du-sik),Zac,5,1,11,119,10.7,PawN,Ezreal,9,3,13,281,15.3,Ggoggo,Varus,8,5,13,213,13.7,Cammly,Nami,2,2,20,17,9.2
2013LCKSUMMER,2013-07-19,KT Rolster Bullets,CJ Entus Frost,1,InSec,Malphite,4,2,11,293,14.4,KaKAO,Elise,1,2,9,143,10.6,Ryu,Orianna,4,1,14,329,15.5,Score,Vayne,11,1,7,311,17,Mafa,Nami,2,1,19,22,10.7,Shy,Shen,0,4,6,304,12.2,CloudTemplar,Zac,0,5,5,106,8.1,GBM,Jayce,5,4,1,349,14.3,Space,Ezreal,2,4,2,310,12.7,MadLife,Sona,0,5,5,15,7.5
2013LCKSUMMER,2013-07-19,CJ Entus Frost,KT Rolster Bullets,1,Shy,Vladimir,3,3,3,311,13.3,CloudTemplar,Elise,3,2,9,107,9.4,GBM,Orianna,2,3,13,209,11.4,Space,Twitch,16,2,4,245,15.6,MadLife,Alistar,0,4,17,28,8.8,InSec,Zac,3,4,4,207,9.5,KaKAO,Nunu,2,3,10,79,7.8,Ryu,Ezreal,4,5,5,290,11.8,Score,Varus,4,5,3,220,10.2,Mafa,Nami,1,7,11,12,7.1
2013LCKSUMMER,2013-07-24,KT Rolster Bullets,Incredible Miracle 1,1,Ssumday,Renekton,7,0,10,227,13.3,KaKAO,Jarvan IV,2,3,19,92,9.6,Ryu,Orianna,9,2,9,290,14.8,Score,Vayne,5,1,6,307,14.1,Mafa,Thresh,1,2,16,26,9.3,Smeb,Yorick,1,5,4,143,7.7,Reignover,Nasus,1,5,6,164,8,MidKing,Ahri,3,5,3,252,10,Paragon,Ezreal,1,3,5,209,8.7,Black (Kim Jun-hwan),Sona,2,6,4,18,6.1
